Blob hydrophobicity  class,Hydrophobicity cutoff,total SNPs,Blob length,Enrichment ,p value
h,0.06,152,92,0.45,1.79E-08
h,0.06,149,93,0.58,7.66E-05
h,0.06,131,94,0.97,9.47E-01
h,0.06,178,95,0.95,7.35E-01
h,0.06,163,96,1.11,3.60E-01
h,0.06,212,97,0.67,4.02E-04
h,0.06,219,98,1.22,4.06E-02
h,0.06,211,99,0.62,2.45E-05
h,0.06,152,100,0.98,9.02E-01
h,0.07,9,1,0.16,3.87E-02
h,0.07,10,2,0.56,5.10E-01
h,0.07,60,3,0.76,2.27E-01
h,0.07,67,4,0.6,1.42E-02
h,0.07,74,5,0.75,1.55E-01
h,0.07,66,6,0.38,1.92E-05
h,0.07,97,7,0.92,6.49E-01
h,0.07,116,8,1.18,2.14E-01
h,0.07,100,9,0.61,3.54E-03
h,0.07,102,10,0.81,1.95E-01
h,0.07,138,11,0.74,3.26E-02
h,0.07,132,12,0.59,3.06E-04
h,0.07,151,13,0.81,1.23E-01
h,0.07,140,14,0.84,2.38E-01
h,0.07,181,15,1.44,6.70E-04
h,0.07,151,16,0.73,1.71E-02
h,0.07,163,17,0.68,3.30E-03
h,0.07,169,18,0.82,1.04E-01
h,0.07,213,19,1.15,1.46E-01
h,0.07,215,20,0.85,1.60E-01
h,0.07,225,21,0.57,2.85E-07
h,0.07,202,22,0.59,7.46E-06
h,0.07,183,23,0.97,8.67E-01
h,0.07,207,24,0.97,7.93E-01
h,0.07,183,25,0.61,4.06E-05
h,0.07,278,26,1.08,3.77E-01
h,0.07,264,27,0.92,4.08E-01
h,0.07,261,28,0.97,7.79E-01
h,0.07,237,29,1.06,5.49E-01
h,0.07,169,30,0.66,1.16E-03
h,0.07,203,31,0.63,5.86E-05
h,0.07,255,32,0.96,7.06E-01
h,0.07,217,33,0.62,2.06E-05
h,0.07,208,34,0.66,3.02E-04
h,0.07,259,35,0.51,1.92E-10
h,0.07,224,36,0.84,1.16E-01
h,0.07,220,37,0.65,8.62E-05
h,0.07,295,38,0.83,4.96E-02
h,0.07,181,39,0.6,3.73E-05
h,0.07,228,40,0.68,3.14E-04
h,0.07,321,41,0.63,5.74E-07
h,0.07,241,42,1.15,1.29E-01
h,0.07,248,43,1.02,8.08E-01
h,0.07,248,44,0.9,2.99E-01
h,0.07,286,45,0.94,5.63E-01
h,0.07,245,46,0.92,4.17E-01
h,0.07,254,47,0.98,8.87E-01
h,0.07,231,48,0.65,7.06E-05
h,0.07,312,49,0.84,5.07E-02
h,0.07,221,50,0.77,1.72E-02
h,0.07,256,51,0.78,1.45E-02
h,0.07,276,52,0.92,3.93E-01
h,0.07,272,53,0.93,4.67E-01
h,0.07,260,54,0.53,1.14E-09
h,0.07,306,55,0.8,1.26E-02
h,0.07,280,56,1.11,2.09E-01
h,0.07,406,57,0.92,2.98E-01
h,0.07,278,58,0.57,2.40E-08
h,0.07,230,59,0.84,9.99E-02
h,0.07,265,60,0.79,1.81E-02
h,0.07,240,61,0.7,8.03E-04
h,0.07,243,62,0.73,2.11E-03
h,0.07,261,63,0.89,2.70E-01
h,0.07,310,64,0.84,5.01E-02
h,0.07,328,65,0.9,2.49E-01
h,0.07,321,66,0.94,4.76E-01
h,0.07,264,67,0.95,6.11E-01
h,0.07,267,68,0.61,9.82E-07
h,0.07,301,69,0.89,2.14E-01
h,0.07,332,70,1.04,6.43E-01
h,0.07,280,71,0.55,2.23E-09
h,0.07,307,72,0.93,4.67E-01
h,0.07,386,73,1.03,7.26E-01
h,0.07,261,74,0.77,9.44E-03
h,0.07,363,75,1.15,6.97E-02
h,0.07,187,76,0.71,4.19E-03
h,0.07,283,77,1.08,3.82E-01
h,0.07,210,78,0.47,2.91E-10
h,0.07,284,79,0.67,2.40E-05
h,0.07,291,80,0.92,3.58E-01
h,0.07,239,81,0.77,1.50E-02
h,0.07,278,82,1.16,8.90E-02
h,0.07,256,83,0.53,1.47E-09
h,0.07,284,84,1.06,5.22E-01
h,0.07,275,85,0.87,1.54E-01
h,0.07,378,86,1.36,4.27E-05
h,0.07,313,87,0.89,2.08E-01
h,0.07,319,88,1.3,1.51E-03
h,0.07,351,89,1.17,4.33E-02
h,0.07,187,90,0.73,7.66E-03
h,0.07,317,91,1.07,3.85E-01
h,0.07,356,92,1.23,6.72E-03
h,0.07,216,93,0.5,2.84E-09
h,0.07,266,94,0.86,1.47E-01
h,0.07,236,95,1.31,5.17E-03
h,0.07,303,96,1.4,5.42E-05
h,0.07,250,97,0.75,4.19E-03
h,0.07,368,98,0.94,4.57E-01
h,0.07,371,99,1.33,1.99E-04
h,0.07,294,100,1.29,3.01E-03
h,0.08,13,1,0.58,3.42E-01
h,0.08,8,2,0.44,3.45E-01
h,0.08,87,3,0.76,1.23E-01
h,0.08,84,4,0.59,4.18E-03
h,0.08,104,5,0.61,2.73E-03
h,0.08,82,6,0.42,1.15E-05
h,0.08,128,7,1.15,2.67E-01
h,0.08,143,8,1.15,2.38E-01
h,0.08,131,9,0.51,8.76E-06
h,0.08,141,10,0.97,8.49E-01
h,0.08,175,11,0.63,2.19E-04
h,0.08,153,12,0.6,1.40E-04
h,0.08,219,13,0.95,6.47E-01
h,0.08,165,14,0.85,2.08E-01
h,0.08,226,15,1.24,2.92E-02
h,0.08,169,16,0.78,4.52E-02
h,0.08,199,17,0.6,1.86E-05
h,0.08,222,18,0.86,1.52E-01
h,0.08,262,19,1.14,1.60E-01
h,0.08,281,20,0.79,1.36E-02
h,0.08,264,21,0.58,7.04E-08
h,0.08,234,22,0.56,9.31E-08
h,0.08,237,23,0.84,1.05E-01
h,0.08,281,24,1.05,6.14E-01
h,0.08,232,25,0.73,2.66E-03
h,0.08,304,26,0.85,7.63E-02
h,0.08,307,27,0.88,1.76E-01
h,0.08,311,28,0.94,4.96E-01
h,0.08,260,29,0.94,5.76E-01
h,0.08,210,30,0.56,5.10E-07
h,0.08,274,31,0.86,1.29E-01
h,0.08,304,32,1.08,3.28E-01
h,0.08,260,33,0.57,4.64E-08
h,0.08,245,34,0.66,5.28E-05
h,0.08,291,35,0.48,1.62E-13
h,0.08,283,36,0.96,7.20E-01
h,0.08,298,37,0.77,5.69E-03
h,0.08,327,38,0.92,3.42E-01
h,0.08,221,39,0.58,1.10E-06
h,0.08,270,40,0.77,7.32E-03
h,0.08,380,41,0.56,7.94E-12
h,0.08,325,42,1.38,7.16E-05
h,0.08,282,43,0.77,7.56E-03
h,0.08,271,44,0.79,1.36E-02
h,0.08,326,45,1.05,5.80E-01
h,0.08,272,46,0.71,5.44E-04
h,0.08,290,47,0.82,3.54E-02
h,0.08,303,48,0.87,1.26E-01
h,0.08,330,49,0.66,3.91E-06
h,0.08,297,50,0.92,4.09E-01
h,0.08,302,51,0.77,4.68E-03
h,0.08,293,52,1.0,1.00E+00
h,0.08,288,53,0.86,9.89E-02
h,0.08,305,54,0.68,2.17E-05
h,0.08,370,55,1.01,9.37E-01
h,0.08,333,56,1.02,8.02E-01
h,0.08,477,57,1.0,9.72E-01
h,0.08,337,58,0.6,1.13E-08
h,0.08,262,59,0.83,6.34E-02
h,0.08,314,60,0.72,3.83E-04
h,0.08,305,61,0.68,2.17E-05
h,0.08,241,62,0.81,3.89E-02
h,0.08,279,63,0.88,1.69E-01
h,0.08,341,64,1.05,5.32E-01
h,0.08,335,65,0.73,3.19E-04
h,0.08,356,66,1.04,5.97E-01
h,0.08,306,67,0.93,4.16E-01
h,0.08,339,68,0.72,2.23E-04
h,0.08,360,69,0.86,7.35E-02
h,0.08,363,70,1.18,3.81E-02
h,0.08,304,71,0.58,6.04E-09
h,0.08,330,72,0.95,5.90E-01
h,0.08,417,73,1.16,4.49E-02
h,0.08,293,74,0.76,3.64E-03
h,0.08,386,75,1.01,9.38E-01
h,0.08,227,76,0.83,7.25E-02
h,0.08,310,77,1.06,4.83E-01
h,0.08,232,78,0.46,4.00E-12
h,0.08,328,79,0.67,6.22E-06
h,0.08,329,80,0.91,2.85E-01
h,0.08,271,81,0.79,1.36E-02
h,0.08,281,82,1.16,1.00E-01
h,0.08,250,83,0.54,5.45E-09
h,0.08,296,84,0.9,2.79E-01
h,0.08,327,85,0.96,7.07E-01
h,0.08,392,86,1.33,1.08E-04
h,0.08,245,87,0.35,1.29E-19
h,0.08,365,88,1.37,3.65E-05
h,0.08,349,89,1.04,5.93E-01
h,0.08,209,90,0.91,4.39E-01
h,0.08,366,91,1.13,1.10E-01
h,0.08,357,92,1.15,8.08E-02
h,0.08,297,93,0.95,6.00E-01
h,0.08,272,94,0.89,2.24E-01
h,0.08,269,95,1.1,2.97E-01
h,0.08,330,96,1.42,1.17E-05
h,0.08,254,97,0.74,2.97E-03
h,0.08,390,98,1.04,5.86E-01
h,0.08,392,99,1.35,6.16E-05
h,0.08,314,100,1.31,1.36E-03
h,0.09,12,1,0.44,1.79E-01
h,0.09,8,2,0.0,3.89E-03
h,0.09,106,3,0.64,6.53E-03
h,0.09,91,4,0.55,9.58E-04
h,0.09,122,5,0.57,2.38E-04
h,0.09,98,6,0.4,4.30E-07
h,0.09,135,7,1.21,1.32E-01
h,0.09,163,8,1.26,4.43E-02
h,0.09,154,9,0.46,2.13E-08
h,0.09,168,10,1.08,5.11E-01
h,0.09,229,11,0.59,1.04E-06
h,0.09,167,12,0.53,9.72E-07
h,0.09,236,13,0.99,1.00E+00
h,0.09,218,14,0.95,6.83E-01
h,0.09,233,15,1.17,1.09E-01
h,0.09,190,16,0.76,2.14E-02
h,0.09,228,17,0.69,6.09E-04
h,0.09,258,18,0.92,4.56E-01
h,0.09,298,19,1.02,7.57E-01
h,0.09,308,20,0.75,1.40E-03
h,0.09,276,21,0.66,2.69E-05
h,0.09,277,22,0.62,9.76E-07
h,0.09,262,23,0.81,3.07E-02
h,0.09,284,24,0.91,3.52E-01
h,0.09,292,25,0.73,9.28E-04
h,0.09,336,26,0.77,3.08E-03
h,0.09,390,27,0.71,2.06E-05
h,0.09,342,28,0.94,4.65E-01
h,0.09,313,29,0.95,6.09E-01
h,0.09,236,30,0.62,8.69E-06
h,0.09,297,31,0.84,5.53E-02
h,0.09,331,32,1.03,7.05E-01
h,0.09,289,33,0.62,6.96E-07
h,0.09,301,34,0.67,1.63E-05
h,0.09,323,35,0.49,3.33E-14
h,0.09,328,36,0.89,1.89E-01
h,0.09,359,37,1.03,7.46E-01
h,0.09,362,38,0.98,8.11E-01
h,0.09,264,39,0.62,2.35E-06
h,0.09,324,40,0.83,3.78E-02
h,0.09,427,41,0.63,4.65E-09
h,0.09,355,42,1.34,1.61E-04
h,0.09,324,43,0.86,1.01E-01
h,0.09,318,44,0.9,2.59E-01
h,0.09,380,45,0.87,8.76E-02
h,0.09,304,46,0.78,7.78E-03
h,0.09,349,47,1.02,8.06E-01
h,0.09,347,48,0.77,2.46E-03
h,0.09,324,49,0.74,6.11E-04
h,0.09,322,50,0.8,1.07E-02
h,0.09,332,51,0.86,8.88E-02
h,0.09,306,52,1.04,5.98E-01
h,0.09,307,53,0.92,3.70E-01
h,0.09,318,54,0.65,2.73E-06
h,0.09,425,55,0.86,5.30E-02
h,0.09,369,56,0.91,2.94E-01
h,0.09,470,57,1.24,1.49E-03
h,0.09,365,58,0.66,6.59E-07
h,0.09,278,59,0.78,1.04E-02
h,0.09,329,60,0.77,2.81E-03
h,0.09,359,61,0.84,4.35E-02
h,0.09,272,62,0.83,6.18E-02
h,0.09,308,63,0.74,8.07E-04
h,0.09,374,64,1.09,2.79E-01
h,0.09,381,65,0.82,1.48E-02
h,0.09,379,66,0.95,5.88E-01
h,0.09,374,67,0.74,2.39E-04
h,0.09,354,68,0.69,2.00E-05
h,0.09,408,69,1.01,8.80E-01
h,0.09,403,70,1.04,5.66E-01
h,0.09,314,71,0.67,1.65E-05
h,0.09,357,72,1.07,3.68E-01
h,0.09,423,73,1.13,9.43E-02
h,0.09,346,74,1.11,1.94E-01
h,0.09,388,75,0.84,3.05E-02
h,0.09,228,76,0.71,1.15E-03
h,0.09,359,77,1.31,4.40E-04
h,0.09,260,78,0.52,3.38E-10
h,0.09,311,79,0.81,1.85E-02
h,0.09,362,80,0.98,8.11E-01
h,0.09,272,81,0.59,1.91E-07
h,0.09,306,82,0.99,9.65E-01
h,0.09,251,83,0.58,1.73E-07
h,0.09,309,84,0.86,1.10E-01
h,0.09,356,85,1.03,7.15E-01
h,0.09,384,86,1.14,8.52E-02
h,0.09,356,87,0.96,6.60E-01
h,0.09,372,88,1.17,3.69E-02
h,0.09,330,89,1.11,1.83E-01
h,0.09,240,90,0.86,1.40E-01
h,0.09,382,91,1.21,1.03E-02
h,0.09,384,92,1.1,1.90E-01
h,0.09,302,93,0.83,3.90E-02
h,0.09,340,94,1.4,2.07E-05
h,0.09,271,95,1.07,4.53E-01
h,0.09,353,96,1.3,7.82E-04
h,0.09,292,97,0.96,7.24E-01
h,0.09,366,98,1.13,1.10E-01
h,0.09,405,99,1.54,2.21E-09
h,0.09,338,100,1.24,6.05E-03
h,0.1,11,1,0.29,5.64E-02
h,0.1,8,2,0.0,3.89E-03
h,0.1,163,3,0.54,4.13E-06
h,0.1,143,4,0.39,3.70E-10
h,0.1,177,5,0.46,2.17E-09
h,0.1,181,6,0.62,8.41E-05
h,0.1,237,7,0.89,2.67E-01
h,0.1,273,8,0.96,7.49E-01
h,0.1,218,9,0.63,3.16E-05
h,0.1,252,10,0.78,1.22E-02
h,0.1,371,11,0.65,2.71E-07
h,0.1,289,12,0.68,5.40E-05
h,0.1,372,13,0.81,9.08E-03
h,0.1,336,14,0.82,2.54E-02
h,0.1,394,15,1.0,9.69E-01
h,0.1,288,16,0.7,2.25E-04
h,0.1,355,17,0.82,1.98E-02
h,0.1,392,18,0.79,3.72E-03
h,0.1,438,19,0.92,2.68E-01
h,0.1,472,20,0.76,1.18E-04
h,0.1,404,21,0.66,3.03E-07
h,0.1,404,22,0.72,2.76E-05
h,0.1,402,23,0.95,4.99E-01
h,0.1,436,24,0.77,6.80E-04
h,0.1,419,25,0.63,4.25E-09
h,0.1,443,26,0.77,4.58E-04
h,0.1,538,27,0.79,5.60E-04
h,0.1,488,28,0.86,3.51E-02
h,0.1,488,29,0.85,1.96E-02
h,0.1,382,30,0.68,3.50E-06
h,0.1,440,31,0.97,7.45E-01
h,0.1,456,32,1.05,4.94E-01
h,0.1,388,33,0.64,7.58E-08
h,0.1,456,34,0.67,1.40E-07
h,0.1,489,35,0.89,9.94E-02
h,0.1,381,36,0.62,1.31E-08
h,0.1,477,37,0.98,8.62E-01
h,0.1,457,38,1.11,1.35E-01
h,0.1,335,39,0.56,8.79E-11
h,0.1,461,40,0.81,3.47E-03
h,0.1,497,41,0.79,1.10E-03
h,0.1,493,42,1.17,1.89E-02
h,0.1,504,43,1.12,8.15E-02
h,0.1,430,44,0.85,3.91E-02
h,0.1,447,45,0.95,4.76E-01
h,0.1,446,46,1.05,4.66E-01
h,0.1,439,47,0.99,8.85E-01
h,0.1,443,48,0.67,2.72E-07
h,0.1,448,49,0.99,9.14E-01
h,0.1,357,50,0.67,2.99E-06
h,0.1,496,51,0.94,4.17E-01
h,0.1,420,52,1.0,1.00E+00
h,0.1,505,53,1.09,1.89E-01
h,0.1,363,54,0.57,7.62E-11
h,0.1,556,55,1.24,5.27E-04
h,0.1,483,56,1.23,2.27E-03
h,0.1,515,57,1.04,4.98E-01
h,0.1,422,58,0.78,1.48E-03
h,0.1,360,59,0.88,1.28E-01
h,0.1,397,60,0.83,1.68E-02
h,0.1,465,61,0.98,8.60E-01
h,0.1,382,62,1.21,1.03E-02
h,0.1,355,63,0.53,1.57E-12
h,0.1,401,64,1.07,3.34E-01
h,0.1,455,65,1.15,4.66E-02
h,0.1,436,66,0.77,6.80E-04
h,0.1,375,67,0.92,3.15E-01
h,0.1,451,68,0.72,1.86E-05
h,0.1,459,69,0.91,1.86E-01
h,0.1,382,70,0.7,1.27E-05
h,0.1,427,71,0.96,6.09E-01
h,0.1,418,72,1.51,7.62E-09
h,0.1,494,73,1.29,9.64E-05
h,0.1,355,74,0.91,2.85E-01
h,0.1,411,75,0.73,4.90E-05
h,0.1,296,76,0.56,2.10E-09
h,0.1,387,77,1.47,2.05E-07
h,0.1,345,78,0.65,1.04E-06
h,0.1,374,79,0.77,1.68E-03
h,0.1,409,80,0.94,4.35E-01
h,0.1,313,81,0.57,1.62E-09
h,0.1,300,82,0.91,3.01E-01
h,0.1,379,83,1.04,6.08E-01
h,0.1,353,84,0.8,8.42E-03
h,0.1,414,85,1.2,1.40E-02
h,0.1,388,86,1.07,3.46E-01
h,0.1,258,87,0.6,5.53E-07
h,0.1,409,88,1.21,8.33E-03
h,0.1,378,89,1.08,3.20E-01
h,0.1,271,90,1.05,5.75E-01
h,0.1,505,91,1.54,3.00E-11
h,0.1,388,92,1.4,4.77E-06
h,0.1,297,93,0.43,1.04E-16
h,0.1,296,94,1.25,7.88E-03
h,0.1,291,95,1.33,8.23E-04
h,0.1,342,96,1.15,8.18E-02
h,0.1,323,97,0.99,9.33E-01
h,0.1,336,98,0.91,2.90E-01
h,0.1,430,99,1.9,1.24E-20
h,0.1,334,100,1.21,1.65E-02
h,0.11,15,1,2.61,6.12E-03
h,0.11,8,2,0.0,3.89E-03
h,0.11,289,3,0.5,3.28E-12
h,0.11,214,4,0.43,1.42E-12
h,0.11,256,5,0.44,6.27E-14
h,0.11,350,6,0.76,1.37E-03
h,0.11,396,7,0.77,1.07E-03
h,0.11,449,8,0.78,9.01E-04
h,0.11,383,9,0.62,1.70E-08
h,0.11,431,10,0.9,1.73E-01
h,0.11,557,11,0.7,1.10E-07
h,0.11,461,12,0.69,9.65E-07
h,0.11,584,13,0.86,2.01E-02
h,0.11,516,14,0.76,9.16E-05
h,0.11,548,15,0.83,5.78E-03
h,0.11,525,16,0.78,2.72E-04
h,0.11,549,17,0.7,2.32E-07
h,0.11,512,18,0.68,4.30E-08
h,0.11,591,19,0.85,1.18E-02
h,0.11,695,20,0.69,7.66E-10
h,0.11,615,21,0.8,5.15E-04
h,0.11,567,22,0.78,1.77E-04
h,0.11,552,23,0.83,4.49E-03
h,0.11,569,24,0.8,6.92E-04
h,0.11,592,25,0.75,1.01E-05
h,0.11,602,26,0.73,6.83E-07
h,0.11,776,27,0.69,1.37E-10
h,0.11,668,28,0.97,5.78E-01
h,0.11,701,29,0.91,1.13E-01
h,0.11,516,30,0.66,3.72E-09
h,0.11,647,31,0.96,5.13E-01
h,0.11,669,32,1.02,6.78E-01
h,0.11,606,33,0.81,9.78E-04
h,0.11,643,34,0.74,1.07E-06
h,0.11,619,35,0.96,5.04E-01
h,0.11,587,36,0.79,3.89E-04
h,0.11,585,37,0.88,5.30E-02
h,0.11,555,38,1.09,1.56E-01
h,0.11,491,39,0.82,6.69E-03
h,0.11,603,40,0.88,4.59E-02
h,0.11,630,41,0.93,2.43E-01
h,0.11,572,42,1.13,4.20E-02
h,0.11,529,43,0.87,4.58E-02
h,0.11,574,44,1.02,7.25E-01
h,0.11,544,45,1.18,9.94E-03
h,0.11,551,46,0.95,4.41E-01
h,0.11,501,47,0.9,1.52E-01
h,0.11,548,48,1.01,8.70E-01
h,0.11,517,49,0.9,1.31E-01
h,0.11,461,50,1.11,1.27E-01
h,0.11,534,51,1.08,2.27E-01
h,0.11,564,52,0.73,3.72E-06
h,0.11,593,53,1.29,2.07E-05
h,0.11,470,54,0.77,3.14E-04
h,0.11,659,55,1.25,1.19E-04
h,0.11,491,56,1.17,1.87E-02
h,0.11,569,57,1.19,5.80E-03
h,0.11,488,58,0.76,1.69E-04
h,0.11,461,59,0.97,6.47E-01
h,0.11,498,60,0.94,4.18E-01
h,0.11,520,61,1.04,5.22E-01
h,0.11,413,62,0.91,2.54E-01
h,0.11,422,63,0.86,5.66E-02
h,0.11,454,64,0.91,1.83E-01
h,0.11,466,65,1.01,9.16E-01
h,0.11,448,66,0.87,5.90E-02
h,0.11,393,67,0.77,1.17E-03
h,0.11,461,68,0.84,1.51E-02
h,0.11,418,69,1.06,4.51E-01
h,0.11,512,70,1.21,3.93E-03
h,0.11,431,71,1.07,3.52E-01
h,0.11,435,72,1.22,5.26E-03
h,0.11,481,73,1.35,5.15E-06
h,0.11,406,74,1.14,8.00E-02
h,0.11,431,75,1.26,9.86E-04
h,0.11,380,76,0.93,3.76E-01
h,0.11,384,77,0.96,6.72E-01
h,0.11,340,78,0.66,2.18E-06
h,0.11,426,79,1.52,2.90E-09
h,0.11,481,80,1.26,6.53E-04
h,0.11,350,81,0.98,8.40E-01
h,0.11,327,82,0.91,2.66E-01
h,0.11,405,83,0.86,5.64E-02
h,0.11,465,84,1.2,7.12E-03
h,0.11,346,85,0.89,1.62E-01
h,0.11,354,86,1.22,1.10E-02
h,0.11,374,87,0.91,2.79E-01
h,0.11,390,88,1.4,5.03E-06
h,0.11,284,89,0.85,8.85E-02
h,0.11,321,90,1.78,7.57E-13
h,0.11,472,91,1.52,3.61E-10
h,0.11,300,92,1.04,6.58E-01
h,0.11,207,93,0.57,1.34E-06
h,0.11,280,94,1.34,7.56E-04
h,0.11,306,95,1.55,1.22E-07
h,0.11,320,96,1.46,3.00E-06
h,0.11,321,97,1.47,1.91E-06
h,0.11,238,98,0.74,3.94E-03
h,0.11,354,99,1.62,3.57E-10
h,0.11,332,100,2.03,1.51E-19
h,0.12,15,1,3.59,3.49E-04
h,0.12,7,2,0.0,8.31E-03
h,0.12,333,3,0.58,1.15E-09
h,0.12,238,4,0.51,9.81E-10
h,0.12,279,5,0.42,1.10E-16
h,0.12,398,6,0.76,7.59E-04
h,0.12,425,7,0.75,1.87E-04
h,0.12,484,8,0.77,2.32E-04
h,0.12,432,9,0.72,2.66E-05
h,0.12,482,10,0.89,1.19E-01
h,0.12,602,11,0.7,7.47E-08
h,0.12,505,12,0.66,9.12E-09
h,0.12,649,13,0.87,2.00E-02
h,0.12,582,14,0.8,8.72E-04
h,0.12,640,15,1.0,9.52E-01
h,0.12,568,16,0.82,2.59E-03
h,0.12,573,17,0.75,1.27E-05
h,0.12,568,18,0.65,2.14E-10
h,0.12,653,19,0.88,3.63E-02
h,0.12,743,20,0.69,4.21E-10
h,0.12,652,21,0.8,2.06E-04
h,0.12,651,22,1.0,9.28E-01
h,0.12,588,23,0.75,1.40E-05
h,0.12,643,24,0.84,5.29E-03
h,0.12,680,25,0.78,5.28E-05
h,0.12,678,26,0.75,1.67E-06
h,0.12,866,27,0.81,5.57E-05
h,0.12,680,28,1.01,9.07E-01
h,0.12,714,29,0.91,1.23E-01
h,0.12,568,30,0.68,6.76E-09
h,0.12,665,31,1.0,1.00E+00
h,0.12,704,32,1.05,3.68E-01
h,0.12,707,33,0.91,1.21E-01
h,0.12,689,34,0.79,9.12E-05
h,0.12,636,35,0.86,1.75E-02
h,0.12,634,36,0.87,2.93E-02
h,0.12,600,37,0.79,3.58E-04
h,0.12,611,38,0.88,4.41E-02
h,0.12,540,39,0.93,3.01E-01
h,0.12,648,40,0.9,7.87E-02
h,0.12,626,41,0.87,2.44E-02
h,0.12,632,42,1.24,2.44E-04
h,0.12,603,43,0.94,3.12E-01
h,0.12,635,44,1.17,7.69E-03
h,0.12,543,45,1.13,5.53E-02
h,0.12,598,46,1.0,9.50E-01
h,0.12,569,47,0.87,2.98E-02
h,0.12,614,48,1.08,1.99E-01
h,0.12,541,49,0.89,7.86E-02
h,0.12,538,50,1.34,2.72E-06
h,0.12,551,51,1.07,2.92E-01
h,0.12,534,52,0.75,2.92E-05
h,0.12,592,53,1.36,3.51E-07
h,0.12,481,54,0.82,6.82E-03
h,0.12,566,55,0.99,8.98E-01
h,0.12,484,56,1.14,4.56E-02
h,0.12,582,57,1.19,3.78E-03
h,0.12,527,58,0.77,1.96E-04
h,0.12,421,59,0.89,1.47E-01
h,0.12,485,60,0.9,1.45E-01
h,0.12,551,61,1.24,7.33E-04
h,0.12,410,62,0.82,1.03E-02
h,0.12,422,63,0.81,7.63E-03
h,0.12,460,64,1.02,7.48E-01
h,0.12,437,65,0.87,7.08E-02
h,0.12,489,66,0.97,6.57E-01
h,0.12,369,67,0.71,4.43E-05
h,0.12,447,68,0.8,3.03E-03
h,0.12,425,69,1.2,8.77E-03
h,0.12,523,70,1.36,1.51E-06
h,0.12,439,71,1.21,7.04E-03
h,0.12,406,72,1.21,1.03E-02
h,0.12,432,73,1.76,3.20E-16
h,0.12,422,74,1.12,1.10E-01
h,0.12,447,75,1.41,6.62E-07
h,0.12,360,76,0.85,5.23E-02
h,0.12,379,77,0.97,7.85E-01
h,0.12,325,78,0.62,1.74E-07
h,0.12,418,79,1.49,1.73E-08
h,0.12,456,80,1.09,1.90E-01
h,0.12,322,81,0.83,3.38E-02
h,0.12,344,82,1.03,6.79E-01
h,0.12,375,83,0.91,2.48E-01
h,0.12,450,84,1.22,4.85E-03
h,0.12,322,85,0.98,8.33E-01
h,0.12,342,86,1.17,4.47E-02
h,0.12,367,87,1.02,7.80E-01
h,0.12,371,88,1.61,1.76E-10
h,0.12,261,89,0.78,1.54E-02
h,0.12,350,90,1.93,6.33E-18
h,0.12,476,91,1.57,9.67E-12
h,0.12,311,92,1.35,3.01E-04
h,0.12,226,93,0.79,2.64E-02
h,0.12,295,94,1.33,7.55E-04
h,0.12,313,95,1.53,1.82E-07
h,0.12,265,96,1.28,6.50E-03
h,0.12,308,97,1.39,6.50E-05
h,0.12,236,98,0.79,2.63E-02
h,0.12,328,99,1.82,4.47E-14
h,0.12,344,100,2.07,2.96E-21
h,0.13,19,1,1.79,6.37E-02
h,0.13,9,2,0.0,1.83E-03
h,0.13,351,3,0.6,3.94E-09
h,0.13,250,4,0.56,3.49E-08
h,0.13,292,5,0.43,6.50E-17
h,0.13,424,6,0.77,5.82E-04
h,0.13,442,7,0.74,7.36E-05
h,0.13,530,8,0.76,6.75E-05
h,0.13,447,9,0.74,8.00E-05
h,0.13,500,10,0.93,3.14E-01
h,0.13,638,11,0.75,2.89E-06
h,0.13,545,12,0.69,5.15E-08
h,0.13,711,13,0.89,5.72E-02
h,0.13,603,14,0.85,8.28E-03
h,0.13,658,15,1.04,4.90E-01
h,0.13,611,16,0.84,5.62E-03
h,0.13,585,17,0.76,2.53E-05
h,0.13,596,18,0.71,1.63E-07
h,0.13,666,19,0.8,3.61E-04
h,0.13,754,20,0.71,3.91E-09
h,0.13,678,21,0.76,7.68E-06
h,0.13,666,22,1.0,9.76E-01
h,0.13,615,23,0.74,1.98E-06
h,0.13,666,24,0.79,1.11E-04
h,0.13,696,25,0.75,2.49E-06
h,0.13,700,26,0.72,5.17E-08
h,0.13,885,27,0.81,4.40E-05
h,0.13,686,28,1.01,7.93E-01
h,0.13,756,29,1.04,4.84E-01
h,0.13,585,30,0.67,1.20E-09
h,0.13,688,31,0.99,9.08E-01
h,0.13,697,32,1.0,1.00E+00
h,0.13,750,33,0.91,1.19E-01
h,0.13,669,34,0.8,2.20E-04
h,0.13,642,35,0.82,1.09E-03
h,0.13,670,36,0.99,9.06E-01
h,0.13,623,37,0.76,1.24E-05
h,0.13,597,38,0.9,1.12E-01
h,0.13,571,39,1.0,9.75E-01
h,0.13,619,40,0.87,2.96E-02
h,0.13,623,41,0.84,5.56E-03
h,0.13,610,42,1.07,2.46E-01
h,0.13,607,43,0.96,5.19E-01
h,0.13,658,44,1.09,1.22E-01
h,0.13,552,45,1.03,6.01E-01
h,0.13,603,46,1.11,8.62E-02
h,0.13,596,47,0.96,4.96E-01
h,0.13,614,48,1.04,4.56E-01
h,0.13,521,49,0.84,1.19E-02
h,0.13,568,50,1.33,2.71E-06
h,0.13,604,51,1.21,1.87E-03
h,0.13,562,52,0.78,1.67E-04
h,0.13,581,53,1.34,1.75E-06
h,0.13,489,54,0.83,8.76E-03
h,0.13,570,55,1.04,4.99E-01
