Blob hydrophobicity  class,Hydrophobicity cutoff,total SNPs,Blob length,Enrichment ,p value
h,0.01,12,81,0.44,1.79E-01
h,0.01,6,82,1.31,5.04E-01
h,0.01,13,83,0.58,3.42E-01
h,0.01,9,84,0.37,1.92E-01
h,0.01,6,85,0.26,1.99E-01
h,0.01,8,86,0.44,3.45E-01
h,0.01,12,87,0.0,1.92E-04
h,0.01,13,88,0.39,1.02E-01
h,0.01,23,89,0.06,2.00E-06
h,0.01,9,90,0.16,3.87E-02
h,0.01,28,91,0.36,4.68E-03
h,0.01,14,92,0.22,1.19E-02
h,0.01,12,93,0.65,5.42E-01
h,0.01,14,94,0.22,1.19E-02
h,0.01,11,95,0.0,4.06E-04
h,0.01,12,96,0.12,4.81E-03
h,0.01,22,97,0.06,4.07E-06
h,0.01,34,98,0.62,1.21E-01
h,0.01,23,99,0.12,2.81E-05
h,0.01,17,100,0.28,1.32E-02
h,0.02,1,4,0.0,1.00E+00
h,0.02,1,5,0.0,1.00E+00
h,0.02,5,6,1.96,1.99E-01
h,0.02,4,7,1.31,6.69E-01
h,0.02,2,8,0.0,4.15E-01
h,0.02,5,9,1.96,1.99E-01
h,0.02,2,10,0.0,4.15E-01
h,0.02,5,11,0.0,3.84E-02
h,0.02,2,12,1.31,5.35E-01
h,0.02,4,13,0.44,7.35E-01
h,0.02,7,14,0.0,8.31E-03
h,0.02,7,15,1.74,3.01E-01
h,0.02,2,16,1.31,5.35E-01
h,0.02,8,17,0.19,5.14E-02
h,0.02,12,18,1.83,1.16E-01
h,0.02,4,19,3.92,4.27E-02
h,0.02,14,20,0.36,5.73E-02
h,0.02,5,21,0.0,3.84E-02
h,0.02,8,22,0.0,3.89E-03
h,0.02,7,23,0.98,1.00E+00
h,0.02,8,24,0.78,1.00E+00
h,0.02,18,25,0.26,7.12E-03
h,0.02,20,26,0.7,4.28E-01
h,0.02,10,27,0.56,5.10E-01
h,0.02,9,28,0.0,1.83E-03
h,0.02,9,29,0.16,3.87E-02
h,0.02,4,30,0.0,8.35E-02
h,0.02,11,31,0.0,4.06E-04
h,0.02,14,32,1.31,3.90E-01
h,0.02,12,33,0.65,5.42E-01
h,0.02,9,34,0.0,1.83E-03
h,0.02,16,35,2.18,2.95E-02
h,0.02,19,36,1.17,5.85E-01
h,0.02,4,37,1.31,6.69E-01
h,0.02,7,38,0.98,1.00E+00
h,0.02,6,39,0.26,1.99E-01
h,0.02,13,40,0.82,8.40E-01
h,0.02,31,41,2.74,5.19E-05
h,0.02,11,42,0.29,5.64E-02
h,0.02,12,43,0.44,1.79E-01
h,0.02,5,44,0.87,1.00E+00
h,0.02,11,45,0.0,4.06E-04
h,0.02,9,46,0.37,1.92E-01
h,0.02,13,47,0.11,2.39E-03
h,0.02,11,48,0.29,5.64E-02
h,0.02,17,49,0.17,1.64E-03
h,0.02,19,50,0.15,4.27E-04
h,0.02,16,51,0.78,7.17E-01
h,0.02,20,52,0.7,4.28E-01
h,0.02,22,53,0.61,2.35E-01
h,0.02,14,54,0.98,1.00E+00
h,0.02,31,55,3.75,1.45E-07
h,0.02,50,56,4.63,1.70E-14
h,0.02,21,57,1.74,8.08E-02
h,0.02,17,58,0.28,1.32E-02
h,0.02,12,59,0.65,5.42E-01
h,0.02,17,60,0.91,1.00E+00
h,0.02,22,61,1.31,3.84E-01
h,0.02,30,62,0.4,8.14E-03
h,0.02,14,63,0.36,5.73E-02
h,0.02,12,64,0.26,4.31E-02
h,0.02,34,65,0.4,4.71E-03
h,0.02,22,66,1.31,3.84E-01
h,0.02,15,67,0.0,2.06E-05
h,0.02,20,68,0.44,5.38E-02
h,0.02,4,69,0.0,8.35E-02
h,0.02,15,70,0.2,6.16E-03
h,0.02,17,71,0.17,1.64E-03
h,0.02,21,72,0.8,7.49E-01
h,0.02,38,73,0.35,5.32E-04
h,0.02,21,74,0.8,7.49E-01
h,0.02,32,75,1.91,9.76E-03
h,0.02,21,76,0.31,7.73E-03
h,0.02,26,77,0.11,3.56E-06
h,0.02,26,78,0.17,4.10E-05
h,0.02,18,79,0.08,6.99E-05
h,0.02,24,80,0.65,3.14E-01
h,0.02,17,81,0.4,5.62E-02
h,0.02,19,82,0.6,2.65E-01
h,0.02,26,83,0.82,6.67E-01
h,0.02,34,84,0.81,5.32E-01
h,0.02,24,85,0.06,9.80E-07
h,0.02,10,86,0.33,1.05E-01
h,0.02,28,87,0.28,7.69E-04
h,0.02,30,88,0.4,8.14E-03
h,0.02,42,89,0.73,2.69E-01
h,0.02,18,90,0.37,3.22E-02
h,0.02,48,91,0.19,4.51E-08
h,0.02,29,92,0.59,1.23E-01
