,0
0.16,"rgb(204.58823529411762, 111.88235294117646, 13.960784313725489)"
0.17,"rgb(209.88235294117646, 116.8235294117647, 15.607843137254902)"
0.18,"rgb(215.1764705882353, 121.76470588235294, 17.254901960784313)"
0.19,"rgb(218.7058823529412, 125.05882352941177, 18.352941176470587)"
0.2,"rgb(224.0, 130.0, 20.0)"
0.21,"rgb(226.27450980392157, 134.23529411764704, 26.196078431372523)"
0.22,"rgb(229.6862745098039, 140.58823529411762, 35.49019607843136)"
0.23,"rgb(231.96078431372547, 144.8235294117647, 41.68627450980391)"
0.24,"rgb(235.37254901960785, 151.17647058823528, 50.980392156862706)"
0.25,"rgb(238.7843137254902, 157.52941176470588, 60.274509803921546)"
0.26,"rgb(241.05882352941174, 161.76470588235287, 66.47058823529404)"
0.27,"rgb(244.47058823529412, 168.1176470588235, 75.7647058823529)"
0.28,"rgb(246.7450980392157, 172.35294117647055, 81.96078431372545)"
0.29,"rgb(250.15686274509804, 178.70588235294113, 91.25490196078424)"
0.3,"rgb(252.43137254901958, 182.94117647058818, 97.45098039215681)"
0.31,"rgb(253.0980392156863, 187.92156862745097, 107.13725490196074)"
0.32,"rgb(253.1764705882353, 191.05882352941177, 113.64705882352936)"
0.33,"rgb(253.2941176470588, 195.76470588235293, 123.41176470588232)"
0.34,"rgb(253.41176470588235, 200.47058823529412, 133.17647058823528)"
0.35,"rgb(253.49019607843138, 203.6078431372549, 139.6862745098039)"
0.36,"rgb(253.60784313725492, 208.31372549019608, 149.45098039215685)"
0.37,"rgb(253.68627450980392, 211.45098039215685, 155.9607843137255)"
0.38,"rgb(253.80392156862746, 216.15686274509804, 165.72549019607843)"
0.39,"rgb(253.88235294117646, 219.2941176470588, 172.23529411764707)"
0.4,"rgb(254.0, 224.0, 182.0)"
0.41,"rgb(253.45098039215688, 225.80392156862746, 187.09803921568627)"
0.42,"rgb(252.62745098039215, 228.50980392156862, 194.7450980392157)"
0.43,"rgb(251.80392156862746, 231.21568627450978, 202.3921568627451)"
0.44,"rgb(251.25490196078434, 233.01960784313727, 207.49019607843138)"
0.45,"rgb(250.4313725490196, 235.72549019607843, 215.13725490196077)"
0.46,"rgb(249.88235294117646, 237.52941176470586, 220.23529411764707)"
0.47,"rgb(249.05882352941177, 240.23529411764704, 227.88235294117646)"
0.48,"rgb(248.50980392156862, 242.03921568627447, 232.9803921568627)"
0.49,"rgb(247.68627450980392, 244.7450980392157, 240.62745098039215)"
0.5,"rgb(246.39215686274508, 246.4313725490196, 246.76470588235296)"
0.51,"rgb(243.9607843137255, 244.15686274509804, 245.8235294117647)"
0.52,"rgb(240.3137254901961, 240.7450980392157, 244.41176470588235)"
0.53,"rgb(237.8823529411765, 238.47058823529412, 243.47058823529412)"
0.54,"rgb(234.23529411764707, 235.05882352941177, 242.05882352941177)"
0.55,"rgb(231.80392156862746, 232.7843137254902, 241.11764705882354)"
0.56,"rgb(228.15686274509807, 229.37254901960787, 239.7058823529412)"
0.57,"rgb(225.72549019607845, 227.0980392156863, 238.76470588235296)"
0.58,"rgb(222.0784313725491, 223.68627450980398, 237.3529411764706)"
0.59,"rgb(218.43137254901964, 220.27450980392157, 235.94117647058823)"
0.6,"rgb(216.00000000000003, 218.00000000000003, 235.00000000000003)"
0.61,"rgb(211.52941176470594, 212.47058823529414, 232.05882352941177)"
0.62,"rgb(208.54901960784318, 208.78431372549022, 230.09803921568627)"
0.63,"rgb(204.07843137254906, 203.25490196078437, 227.15686274509804)"
0.64,"rgb(201.0980392156863, 199.56862745098044, 225.19607843137254)"
0.65,"rgb(196.62745098039218, 194.03921568627453, 222.2549019607843)"
0.66,"rgb(193.64705882352945, 190.35294117647064, 220.29411764705884)"
0.67,"rgb(189.17647058823533, 184.82352941176475, 217.3529411764706)"
0.68,"rgb(184.70588235294122, 179.29411764705884, 214.41176470588238)"
0.69,"rgb(181.72549019607845, 175.60784313725495, 212.45098039215688)"
0.7,"rgb(177.01960784313732, 169.90196078431376, 209.25490196078434)"
0.71,"rgb(173.09803921568633, 165.50980392156868, 206.2745098039216)"
0.72,"rgb(167.21568627450984, 158.92156862745102, 201.8039215686275)"
0.73,"rgb(163.29411764705884, 154.5294117647059, 198.82352941176472)"
0.74,"rgb(157.41176470588238, 147.94117647058826, 194.3529411764706)"
0.75,"rgb(151.5294117647059, 141.3529411764706, 189.8823529411765)"
0.76,"rgb(147.60784313725492, 136.9607843137255, 186.90196078431373)"
0.77,"rgb(141.72549019607845, 130.37254901960785, 182.4313725490196)"
0.78,"rgb(137.80392156862746, 125.98039215686276, 179.45098039215688)"
0.79,"rgb(131.921568627451, 119.39215686274511, 174.98039215686273)"
0.8,"rgb(128.0, 115.0, 172.0)"
0.81,"rgb(122.82352941176471, 106.05882352941177, 167.76470588235296)"
0.82,"rgb(119.37254901960785, 100.09803921568628, 164.94117647058826)"
0.83,"rgb(114.1960784313726, 91.15686274509812, 160.70588235294122)"
0.84,"rgb(109.01960784313725, 82.2156862745098, 156.47058823529412)"
0.85,"rgb(105.5686274509804, 76.25490196078432, 153.64705882352942)"
0.86,"rgb(100.3921568627451, 67.31372549019609, 149.41176470588235)"
0.87,"rgb(96.94117647058823, 61.35294117647059, 146.58823529411762)"
0.88,"rgb(91.76470588235293, 52.411764705882355, 142.3529411764706)"
0.89,"rgb(88.31372549019606, 46.450980392156865, 139.52941176470588)"
0.9,"rgb(83.23529411764706, 38.23529411764706, 134.80392156862743)"
0.91,"rgb(80.17647058823529, 35.1764705882353, 130.01960784313727)"
0.92,"rgb(75.58823529411765, 30.58823529411765, 122.84313725490195)"
0.93,"rgb(71.0, 26.000000000000004, 115.66666666666667)"
0.94,"rgb(67.94117647058823, 22.941176470588236, 110.88235294117648)"
0.95,"rgb(63.35294117647059, 18.35294117647059, 103.70588235294117)"
0.96,"rgb(60.294117647058826, 15.294117647058826, 98.92156862745098)"
0.97,"rgb(55.705882352941174, 10.705882352941176, 91.7450980392157)"
0.98,"rgb(52.64705882352941, 7.6470588235294095, 86.9607843137255)"
0.99,"rgb(48.05882352941177, 3.0588235294117667, 79.78431372549021)"
1.0,"rgb(45.0, 0.0, 75.0)"
