,0
0.07,"rgb(210.03921568627453, 210.62745098039218, 231.07843137254903)"
0.08,"rgb(202.58823529411768, 201.4117647058824, 226.1764705882353)"
0.09,"rgb(196.62745098039218, 194.03921568627453, 222.2549019607843)"
0.1,"rgb(190.66666666666669, 186.6666666666667, 218.33333333333334)"
0.11,"rgb(184.70588235294122, 179.29411764705884, 214.41176470588238)"
0.12,"rgb(177.01960784313732, 169.90196078431376, 209.25490196078434)"
0.13,"rgb(169.17647058823533, 161.11764705882356, 203.29411764705884)"
0.14,"rgb(161.33333333333334, 152.33333333333337, 197.33333333333337)"
0.15,"rgb(151.5294117647059, 141.3529411764706, 189.8823529411765)"
0.16,"rgb(143.68627450980398, 132.56862745098044, 183.92156862745102)"
0.17,"rgb(135.84313725490196, 123.78431372549021, 177.96078431372553)"
0.18,"rgb(128.0, 115.0, 172.0)"
0.19,"rgb(119.37254901960785, 100.09803921568628, 164.94117647058826)"
0.2,"rgb(112.47058823529412, 88.17647058823529, 159.29411764705884)"
0.21,"rgb(105.5686274509804, 76.25490196078432, 153.64705882352942)"
0.22,"rgb(98.66666666666667, 64.33333333333333, 148.0)"
0.23,"rgb(90.03921568627452, 49.431372549019606, 140.94117647058823)"
0.24,"rgb(83.23529411764706, 38.23529411764706, 134.80392156862743)"
0.25,"rgb(77.11764705882352, 32.117647058823536, 125.23529411764706)"
0.26,"rgb(71.0, 26.000000000000004, 115.66666666666667)"
0.27,"rgb(63.35294117647059, 18.35294117647059, 103.70588235294117)"
0.28,"rgb(57.235294117647065, 12.23529411764706, 94.13725490196077)"
0.29,"rgb(51.11764705882353, 6.117647058823526, 84.5686274509804)"
0.3,"rgb(45.0, 0.0, 75.0)"
0.31,"rgb(45.0, 0.0, 75.0)"
0.32,"rgb(45.0, 0.0, 75.0)"
0.33,"rgb(45.0, 0.0, 75.0)"
0.34,"rgb(45.0, 0.0, 75.0)"
0.35,"rgb(45.0, 0.0, 75.0)"
0.36,"rgb(45.0, 0.0, 75.0)"
0.37,"rgb(45.0, 0.0, 75.0)"
0.38,"rgb(45.0, 0.0, 75.0)"
0.39,"rgb(45.0, 0.0, 75.0)"
0.4,"rgb(45.0, 0.0, 75.0)"
0.41,"rgb(45.0, 0.0, 75.0)"
0.42,"rgb(45.0, 0.0, 75.0)"
0.43,"rgb(45.0, 0.0, 75.0)"
0.44,"rgb(45.0, 0.0, 75.0)"
0.45,"rgb(45.0, 0.0, 75.0)"
0.46,"rgb(45.0, 0.0, 75.0)"
0.47,"rgb(45.0, 0.0, 75.0)"
0.48,"rgb(45.0, 0.0, 75.0)"
0.49,"rgb(45.0, 0.0, 75.0)"
0.5,"rgb(45.0, 0.0, 75.0)"
0.51,"rgb(45.0, 0.0, 75.0)"
0.52,"rgb(45.0, 0.0, 75.0)"
0.53,"rgb(45.0, 0.0, 75.0)"
0.54,"rgb(45.0, 0.0, 75.0)"
0.55,"rgb(45.0, 0.0, 75.0)"
0.56,"rgb(45.0, 0.0, 75.0)"
0.57,"rgb(45.0, 0.0, 75.0)"
0.58,"rgb(45.0, 0.0, 75.0)"
0.59,"rgb(45.0, 0.0, 75.0)"
0.6,"rgb(45.0, 0.0, 75.0)"
0.61,"rgb(45.0, 0.0, 75.0)"
0.62,"rgb(45.0, 0.0, 75.0)"
0.63,"rgb(45.0, 0.0, 75.0)"
0.64,"rgb(45.0, 0.0, 75.0)"
0.65,"rgb(45.0, 0.0, 75.0)"
0.66,"rgb(45.0, 0.0, 75.0)"
0.67,"rgb(45.0, 0.0, 75.0)"
0.68,"rgb(45.0, 0.0, 75.0)"
0.69,"rgb(45.0, 0.0, 75.0)"
0.7,"rgb(45.0, 0.0, 75.0)"
0.71,"rgb(45.0, 0.0, 75.0)"
0.72,"rgb(45.0, 0.0, 75.0)"
0.73,"rgb(45.0, 0.0, 75.0)"
0.74,"rgb(45.0, 0.0, 75.0)"
0.75,"rgb(45.0, 0.0, 75.0)"
0.76,"rgb(45.0, 0.0, 75.0)"
0.77,"rgb(45.0, 0.0, 75.0)"
0.78,"rgb(45.0, 0.0, 75.0)"
0.79,"rgb(45.0, 0.0, 75.0)"
0.8,"rgb(45.0, 0.0, 75.0)"
0.81,"rgb(45.0, 0.0, 75.0)"
0.82,"rgb(45.0, 0.0, 75.0)"
0.83,"rgb(45.0, 0.0, 75.0)"
0.84,"rgb(45.0, 0.0, 75.0)"
0.85,"rgb(45.0, 0.0, 75.0)"
0.86,"rgb(45.0, 0.0, 75.0)"
0.87,"rgb(45.0, 0.0, 75.0)"
0.88,"rgb(45.0, 0.0, 75.0)"
0.89,"rgb(45.0, 0.0, 75.0)"
0.9,"rgb(45.0, 0.0, 75.0)"
0.91,"rgb(45.0, 0.0, 75.0)"
0.92,"rgb(45.0, 0.0, 75.0)"
0.93,"rgb(45.0, 0.0, 75.0)"
0.94,"rgb(45.0, 0.0, 75.0)"
0.95,"rgb(45.0, 0.0, 75.0)"
0.96,"rgb(45.0, 0.0, 75.0)"
0.97,"rgb(45.0, 0.0, 75.0)"
0.98,"rgb(45.0, 0.0, 75.0)"
0.99,"rgb(45.0, 0.0, 75.0)"
1.0,"rgb(45.0, 0.0, 75.0)"
