Hydrophobicity cutoff,Blob length,Blob hydrophobicity  class,total SNPs,Enrichment,p value,color
0.09,63,h,308,0.74,0.000807,"rgb(247.62745098039218, 180.62745098039218, 180.62745098039218)"
0.09,64,h,374,1.09,0.279,"rgb(222.90196078431373, 222.90196078431373, 245.90196078431373)"
0.09,65,h,381,0.82,0.0148,"rgb(246.84313725490196, 199.84313725490196, 199.84313725490196)"
0.09,66,h,379,0.95,0.588,"rgb(245.50980392156865, 232.50980392156862, 232.50980392156862)"
0.09,67,h,374,0.74,0.000239,"rgb(247.62745098039218, 180.62745098039218, 180.62745098039218)"
0.09,68,h,354,0.69,2e-05,"rgb(248.09803921568627, 169.09803921568627, 169.09803921568627)"
0.09,69,h,408,1.01,0.88,"rgb(242.11764705882354, 242.11764705882354, 245.11764705882354)"
0.09,70,h,403,1.04,0.566,"rgb(234.4313725490196, 234.4313725490196, 245.4313725490196)"
0.09,71,h,314,0.67,1.65e-05,"rgb(248.33333333333334, 163.33333333333331, 163.33333333333331)"
0.09,72,h,357,1.07,0.368,"rgb(228.66666666666669, 228.66666666666669, 245.66666666666669)"
0.09,73,h,423,1.13,0.0943,"rgb(213.2941176470588, 213.2941176470588, 246.29411764705884)"
0.09,74,h,346,1.11,0.194,"rgb(217.1372549019608, 217.1372549019608, 246.13725490196077)"
0.09,75,h,388,0.84,0.0305,"rgb(246.60784313725492, 205.60784313725492, 205.60784313725492)"
0.09,76,h,228,0.71,0.00115,"rgb(247.94117647058823, 172.94117647058823, 172.94117647058823)"
0.09,77,h,359,1.31,0.00044,"rgb(169.09803921568627, 169.09803921568627, 248.09803921568627)"
0.09,78,h,260,0.52,3.38e-10,"rgb(249.82352941176472, 126.8235294117647, 126.8235294117647)"
0.09,79,h,311,0.81,0.0185,"rgb(246.921568627451, 197.921568627451, 197.921568627451)"
0.09,80,h,362,0.98,0.811,"rgb(245.19607843137257, 240.19607843137254, 240.19607843137254)"
0.09,81,h,272,0.59,1.91e-07,"rgb(249.11764705882354, 144.11764705882354, 144.11764705882354)"
0.09,82,h,306,0.99,0.965,"rgb(245.11764705882354, 242.11764705882356, 242.11764705882356)"
0.09,83,h,251,0.58,1.73e-07,"rgb(249.19607843137254, 142.19607843137254, 142.19607843137254)"
0.09,84,h,309,0.86,0.11,"rgb(246.37254901960785, 211.37254901960787, 211.37254901960787)"
0.09,85,h,356,1.03,0.715,"rgb(238.27450980392157, 238.27450980392157, 245.27450980392157)"
0.09,86,h,384,1.14,0.0852,"rgb(211.37254901960785, 211.37254901960785, 246.37254901960785)"
0.09,87,h,356,0.96,0.66,"rgb(245.4313725490196, 234.4313725490196, 234.4313725490196)"
0.09,88,h,372,1.17,0.0369,"rgb(203.68627450980395, 203.68627450980395, 246.68627450980392)"
0.09,89,h,330,1.11,0.183,"rgb(217.1372549019608, 217.1372549019608, 246.13725490196077)"
0.09,90,h,240,0.86,0.14,"rgb(246.37254901960785, 211.37254901960787, 211.37254901960787)"
0.09,91,h,382,1.21,0.0103,"rgb(194.07843137254903, 194.07843137254903, 247.078431372549)"
0.09,92,h,384,1.1,0.19,"rgb(220.98039215686273, 220.98039215686273, 245.98039215686273)"
0.09,93,h,302,0.83,0.039,"rgb(246.68627450980392, 203.68627450980392, 203.68627450980392)"
0.09,94,h,340,1.4,2.07e-05,"rgb(146.0392156862745, 146.0392156862745, 249.0392156862745)"
0.09,95,h,271,1.07,0.453,"rgb(228.66666666666669, 228.66666666666669, 245.66666666666669)"
0.09,96,h,353,1.3,0.000782,"rgb(171.01960784313727, 171.01960784313727, 248.01960784313727)"
0.09,97,h,292,0.96,0.724,"rgb(245.4313725490196, 234.4313725490196, 234.4313725490196)"
0.09,98,h,366,1.13,0.11,"rgb(213.2941176470588, 213.2941176470588, 246.29411764705884)"
0.09,99,h,405,1.54,2.21e-09,"rgb(111.45098039215688, 111.45098039215688, 250.45098039215685)"
0.09,100,h,338,1.24,0.00605,"rgb(186.3921568627451, 186.3921568627451, 247.3921568627451)"
0.1,1,h,11,0.29,0.0564,"rgb(252.0980392156863, 71.09803921568627, 71.09803921568627)"
0.1,2,h,8,0.0,0.00389,"rgb(255.0, 0.0, 0.0)"
0.1,3,h,163,0.54,4.13e-06,"rgb(249.58823529411765, 132.58823529411762, 132.58823529411762)"
0.1,4,h,143,0.39,3.7e-10,"rgb(251.15686274509804, 94.15686274509802, 94.15686274509802)"
0.1,5,h,177,0.46,2.17e-09,"rgb(250.45098039215685, 111.45098039215686, 111.45098039215686)"
0.1,6,h,181,0.62,8.41e-05,"rgb(248.80392156862746, 151.80392156862746, 151.80392156862746)"
0.1,7,h,237,0.89,0.267,"rgb(246.1372549019608, 217.13725490196077, 217.13725490196077)"
0.1,8,h,273,0.96,0.749,"rgb(245.4313725490196, 234.4313725490196, 234.4313725490196)"
0.1,9,h,218,0.63,3.16e-05,"rgb(248.72549019607845, 153.72549019607845, 153.72549019607845)"
0.1,10,h,252,0.78,0.0122,"rgb(247.23529411764704, 190.23529411764704, 190.23529411764704)"
0.1,11,h,371,0.65,2.71e-07,"rgb(248.49019607843135, 159.49019607843138, 159.49019607843138)"
0.1,12,h,289,0.68,5.4e-05,"rgb(248.1764705882353, 167.1764705882353, 167.1764705882353)"
0.1,13,h,372,0.81,0.00908,"rgb(246.921568627451, 197.921568627451, 197.921568627451)"
0.1,14,h,336,0.82,0.0254,"rgb(246.84313725490196, 199.84313725490196, 199.84313725490196)"
0.1,15,h,394,1.0,0.969,"rgb(244.0392156862745, 244.0392156862745, 245.03921568627453)"
0.1,16,h,288,0.7,0.000225,"rgb(248.01960784313727, 171.01960784313724, 171.01960784313724)"
0.1,17,h,355,0.82,0.0198,"rgb(246.84313725490196, 199.84313725490196, 199.84313725490196)"
0.1,18,h,392,0.79,0.00372,"rgb(247.078431372549, 194.078431372549, 194.078431372549)"
0.1,19,h,438,0.92,0.268,"rgb(245.8235294117647, 224.8235294117647, 224.8235294117647)"
0.1,20,h,472,0.76,0.000118,"rgb(247.3921568627451, 186.3921568627451, 186.3921568627451)"
0.1,21,h,404,0.66,3.03e-07,"rgb(248.41176470588235, 161.41176470588235, 161.41176470588235)"
0.1,22,h,404,0.72,2.76e-05,"rgb(247.7843137254902, 176.7843137254902, 176.7843137254902)"
0.1,23,h,402,0.95,0.499,"rgb(245.50980392156865, 232.50980392156862, 232.50980392156862)"
0.1,24,h,436,0.77,0.00068,"rgb(247.3137254901961, 188.31372549019605, 188.31372549019605)"
0.1,25,h,419,0.63,4.25e-09,"rgb(248.72549019607845, 153.72549019607845, 153.72549019607845)"
0.1,26,h,443,0.77,0.000458,"rgb(247.3137254901961, 188.31372549019605, 188.31372549019605)"
0.1,27,h,538,0.79,0.00056,"rgb(247.078431372549, 194.078431372549, 194.078431372549)"
0.1,28,h,488,0.86,0.0351,"rgb(246.37254901960785, 211.37254901960787, 211.37254901960787)"
0.1,29,h,488,0.85,0.0196,"rgb(246.52941176470588, 207.52941176470588, 207.52941176470588)"
0.1,30,h,382,0.68,3.5e-06,"rgb(248.1764705882353, 167.1764705882353, 167.1764705882353)"
0.1,31,h,440,0.97,0.745,"rgb(245.27450980392157, 238.27450980392157, 238.27450980392157)"
0.1,32,h,456,1.05,0.494,"rgb(232.50980392156862, 232.50980392156862, 245.50980392156865)"
0.1,33,h,388,0.64,7.58e-08,"rgb(248.64705882352942, 155.64705882352942, 155.64705882352942)"
0.1,34,h,456,0.67,1.4e-07,"rgb(248.33333333333334, 163.33333333333331, 163.33333333333331)"
0.1,35,h,489,0.89,0.0994,"rgb(246.1372549019608, 217.13725490196077, 217.13725490196077)"
0.1,36,h,381,0.62,1.31e-08,"rgb(248.80392156862746, 151.80392156862746, 151.80392156862746)"
0.1,37,h,477,0.98,0.862,"rgb(245.19607843137257, 240.19607843137254, 240.19607843137254)"
0.1,38,h,457,1.11,0.135,"rgb(217.1372549019608, 217.1372549019608, 246.13725490196077)"
0.1,39,h,335,0.56,8.79e-11,"rgb(249.4313725490196, 136.4313725490196, 136.4313725490196)"
0.1,40,h,461,0.81,0.00347,"rgb(246.921568627451, 197.921568627451, 197.921568627451)"
0.1,41,h,497,0.79,0.0011,"rgb(247.078431372549, 194.078431372549, 194.078431372549)"
0.1,42,h,493,1.17,0.0189,"rgb(203.68627450980395, 203.68627450980395, 246.68627450980392)"
0.1,43,h,504,1.12,0.0815,"rgb(215.2156862745098, 215.2156862745098, 246.21568627450984)"
0.1,44,h,430,0.85,0.0391,"rgb(246.52941176470588, 207.52941176470588, 207.52941176470588)"
0.1,45,h,447,0.95,0.476,"rgb(245.50980392156865, 232.50980392156862, 232.50980392156862)"
0.1,46,h,446,1.05,0.466,"rgb(232.50980392156862, 232.50980392156862, 245.50980392156865)"
0.1,47,h,439,0.99,0.885,"rgb(245.11764705882354, 242.11764705882356, 242.11764705882356)"
0.1,48,h,443,0.67,2.72e-07,"rgb(248.33333333333334, 163.33333333333331, 163.33333333333331)"
0.1,49,h,448,0.99,0.914,"rgb(245.11764705882354, 242.11764705882356, 242.11764705882356)"
0.1,50,h,357,0.67,2.99e-06,"rgb(248.33333333333334, 163.33333333333331, 163.33333333333331)"
0.1,51,h,496,0.94,0.417,"rgb(245.58823529411765, 230.58823529411765, 230.58823529411765)"
0.1,52,h,420,1.0,1.0,"rgb(244.0392156862745, 244.0392156862745, 245.03921568627453)"
0.1,53,h,505,1.09,0.189,"rgb(222.90196078431373, 222.90196078431373, 245.90196078431373)"
0.1,54,h,363,0.57,7.62e-11,"rgb(249.35294117647058, 138.35294117647058, 138.35294117647058)"
0.1,55,h,556,1.24,0.000527,"rgb(186.3921568627451, 186.3921568627451, 247.3921568627451)"
0.1,56,h,483,1.23,0.00227,"rgb(188.31372549019608, 188.31372549019608, 247.31372549019608)"
0.1,57,h,515,1.04,0.498,"rgb(234.4313725490196, 234.4313725490196, 245.4313725490196)"
0.1,58,h,422,0.78,0.00148,"rgb(247.23529411764704, 190.23529411764704, 190.23529411764704)"
0.1,59,h,360,0.88,0.128,"rgb(246.21568627450984, 215.2156862745098, 215.2156862745098)"
0.1,60,h,397,0.83,0.0168,"rgb(246.68627450980392, 203.68627450980392, 203.68627450980392)"
0.1,61,h,465,0.98,0.86,"rgb(245.19607843137257, 240.19607843137254, 240.19607843137254)"
0.1,62,h,382,1.21,0.0103,"rgb(194.07843137254903, 194.07843137254903, 247.078431372549)"
0.1,63,h,355,0.53,1.57e-12,"rgb(249.7450980392157, 128.74509803921572, 128.74509803921572)"
0.1,64,h,401,1.07,0.334,"rgb(228.66666666666669, 228.66666666666669, 245.66666666666669)"
0.1,65,h,455,1.15,0.0466,"rgb(207.52941176470588, 207.52941176470588, 246.52941176470588)"
0.1,66,h,436,0.77,0.00068,"rgb(247.3137254901961, 188.31372549019605, 188.31372549019605)"
0.1,67,h,375,0.92,0.315,"rgb(245.8235294117647, 224.8235294117647, 224.8235294117647)"
0.1,68,h,451,0.72,1.86e-05,"rgb(247.7843137254902, 176.7843137254902, 176.7843137254902)"
0.1,69,h,459,0.91,0.186,"rgb(245.90196078431373, 222.90196078431373, 222.90196078431373)"
0.1,70,h,382,0.7,1.27e-05,"rgb(248.01960784313727, 171.01960784313724, 171.01960784313724)"
0.1,71,h,427,0.96,0.609,"rgb(245.4313725490196, 234.4313725490196, 234.4313725490196)"
0.1,72,h,418,1.51,7.62e-09,"rgb(119.1372549019608, 119.1372549019608, 250.1372549019608)"
0.1,73,h,494,1.29,9.64e-05,"rgb(172.94117647058823, 172.94117647058823, 247.94117647058823)"
0.1,74,h,355,0.91,0.285,"rgb(245.90196078431373, 222.90196078431373, 222.90196078431373)"
0.1,75,h,411,0.73,4.9e-05,"rgb(247.7058823529412, 178.7058823529412, 178.7058823529412)"
0.1,76,h,296,0.56,2.1e-09,"rgb(249.4313725490196, 136.4313725490196, 136.4313725490196)"
0.1,77,h,387,1.47,2.05e-07,"rgb(128.74509803921572, 128.74509803921572, 249.7450980392157)"
0.1,78,h,345,0.65,1.04e-06,"rgb(248.49019607843135, 159.49019607843138, 159.49019607843138)"
0.1,79,h,374,0.77,0.00168,"rgb(247.3137254901961, 188.31372549019605, 188.31372549019605)"
0.1,80,h,409,0.94,0.435,"rgb(245.58823529411765, 230.58823529411765, 230.58823529411765)"
0.1,81,h,313,0.57,1.62e-09,"rgb(249.35294117647058, 138.35294117647058, 138.35294117647058)"
0.1,82,h,300,0.91,0.301,"rgb(245.90196078431373, 222.90196078431373, 222.90196078431373)"
0.1,83,h,379,1.04,0.608,"rgb(234.4313725490196, 234.4313725490196, 245.4313725490196)"
0.1,84,h,353,0.8,0.00842,"rgb(247.0, 196.0, 196.0)"
0.1,85,h,414,1.2,0.014,"rgb(196.0, 196.0, 247.0)"
0.1,86,h,388,1.07,0.346,"rgb(228.66666666666669, 228.66666666666669, 245.66666666666669)"
0.1,87,h,258,0.6,5.53e-07,"rgb(249.0392156862745, 146.0392156862745, 146.0392156862745)"
0.1,88,h,409,1.21,0.00833,"rgb(194.07843137254903, 194.07843137254903, 247.078431372549)"
0.1,89,h,378,1.08,0.32,"rgb(224.82352941176472, 224.82352941176472, 245.8235294117647)"
0.1,90,h,271,1.05,0.575,"rgb(232.50980392156862, 232.50980392156862, 245.50980392156865)"
0.1,91,h,505,1.54,3e-11,"rgb(111.45098039215688, 111.45098039215688, 250.45098039215685)"
0.1,92,h,388,1.4,4.77e-06,"rgb(146.0392156862745, 146.0392156862745, 249.0392156862745)"
0.1,93,h,297,0.43,1.04e-16,"rgb(250.68627450980392, 105.68627450980394, 105.68627450980394)"
0.1,94,h,296,1.25,0.00788,"rgb(182.54901960784315, 182.54901960784315, 247.54901960784315)"
0.1,95,h,291,1.33,0.000823,"rgb(163.33333333333334, 163.33333333333334, 248.33333333333334)"
0.1,96,h,342,1.15,0.0818,"rgb(207.52941176470588, 207.52941176470588, 246.52941176470588)"
0.1,97,h,323,0.99,0.933,"rgb(245.11764705882354, 242.11764705882356, 242.11764705882356)"
0.1,98,h,336,0.91,0.29,"rgb(245.90196078431373, 222.90196078431373, 222.90196078431373)"
0.1,99,h,430,1.9,1.24e-20,"rgb(23.05882352941176, 23.05882352941176, 254.05882352941177)"
0.1,100,h,334,1.21,0.0165,"rgb(194.07843137254903, 194.07843137254903, 247.078431372549)"
0.11,1,h,15,2.61,0.00612,"rgb(0.0, 0.0, 255.0)"
0.11,2,h,8,0.0,0.00389,"rgb(255.0, 0.0, 0.0)"
0.11,3,h,289,0.5,3.28e-12,"rgb(249.98039215686276, 122.98039215686273, 122.98039215686273)"
0.11,4,h,214,0.43,1.42e-12,"rgb(250.68627450980392, 105.68627450980394, 105.68627450980394)"
0.11,5,h,256,0.44,6.27e-14,"rgb(250.6078431372549, 107.6078431372549, 107.6078431372549)"
0.11,6,h,350,0.76,0.00137,"rgb(247.3921568627451, 186.3921568627451, 186.3921568627451)"
0.11,7,h,396,0.77,0.00107,"rgb(247.3137254901961, 188.31372549019605, 188.31372549019605)"
0.11,8,h,449,0.78,0.000901,"rgb(247.23529411764704, 190.23529411764704, 190.23529411764704)"
0.11,9,h,383,0.62,1.7e-08,"rgb(248.80392156862746, 151.80392156862746, 151.80392156862746)"
0.11,10,h,431,0.9,0.173,"rgb(245.98039215686273, 220.98039215686273, 220.98039215686273)"
0.11,11,h,557,0.7,1.1e-07,"rgb(248.01960784313727, 171.01960784313724, 171.01960784313724)"
0.11,12,h,461,0.69,9.65e-07,"rgb(248.09803921568627, 169.09803921568627, 169.09803921568627)"
0.11,13,h,584,0.86,0.0201,"rgb(246.37254901960785, 211.37254901960787, 211.37254901960787)"
0.11,14,h,516,0.76,9.16e-05,"rgb(247.3921568627451, 186.3921568627451, 186.3921568627451)"
0.11,15,h,548,0.83,0.00578,"rgb(246.68627450980392, 203.68627450980392, 203.68627450980392)"
0.11,16,h,525,0.78,0.000272,"rgb(247.23529411764704, 190.23529411764704, 190.23529411764704)"
0.11,17,h,549,0.7,2.32e-07,"rgb(248.01960784313727, 171.01960784313724, 171.01960784313724)"
0.11,18,h,512,0.68,4.3e-08,"rgb(248.1764705882353, 167.1764705882353, 167.1764705882353)"
0.11,19,h,591,0.85,0.0118,"rgb(246.52941176470588, 207.52941176470588, 207.52941176470588)"
0.11,20,h,695,0.69,7.66e-10,"rgb(248.09803921568627, 169.09803921568627, 169.09803921568627)"
0.11,21,h,615,0.8,0.000515,"rgb(247.0, 196.0, 196.0)"
0.11,22,h,567,0.78,0.000177,"rgb(247.23529411764704, 190.23529411764704, 190.23529411764704)"
0.11,23,h,552,0.83,0.00449,"rgb(246.68627450980392, 203.68627450980392, 203.68627450980392)"
0.11,24,h,569,0.8,0.000692,"rgb(247.0, 196.0, 196.0)"
0.11,25,h,592,0.75,1.01e-05,"rgb(247.47058823529414, 184.47058823529414, 184.47058823529414)"
0.11,26,h,602,0.73,6.83e-07,"rgb(247.7058823529412, 178.7058823529412, 178.7058823529412)"
0.11,27,h,776,0.69,1.37e-10,"rgb(248.09803921568627, 169.09803921568627, 169.09803921568627)"
0.11,28,h,668,0.97,0.578,"rgb(245.27450980392157, 238.27450980392157, 238.27450980392157)"
0.11,29,h,701,0.91,0.113,"rgb(245.90196078431373, 222.90196078431373, 222.90196078431373)"
0.11,30,h,516,0.66,3.72e-09,"rgb(248.41176470588235, 161.41176470588235, 161.41176470588235)"
0.11,31,h,647,0.96,0.513,"rgb(245.4313725490196, 234.4313725490196, 234.4313725490196)"
0.11,32,h,669,1.02,0.678,"rgb(240.19607843137254, 240.19607843137254, 245.19607843137257)"
0.11,33,h,606,0.81,0.000978,"rgb(246.921568627451, 197.921568627451, 197.921568627451)"
0.11,34,h,643,0.74,1.07e-06,"rgb(247.62745098039218, 180.62745098039218, 180.62745098039218)"
0.11,35,h,619,0.96,0.504,"rgb(245.4313725490196, 234.4313725490196, 234.4313725490196)"
0.11,36,h,587,0.79,0.000389,"rgb(247.078431372549, 194.078431372549, 194.078431372549)"
0.11,37,h,585,0.88,0.053,"rgb(246.21568627450984, 215.2156862745098, 215.2156862745098)"
0.11,38,h,555,1.09,0.156,"rgb(222.90196078431373, 222.90196078431373, 245.90196078431373)"
0.11,39,h,491,0.82,0.00669,"rgb(246.84313725490196, 199.84313725490196, 199.84313725490196)"
0.11,40,h,603,0.88,0.0459,"rgb(246.21568627450984, 215.2156862745098, 215.2156862745098)"
0.11,41,h,630,0.93,0.243,"rgb(245.66666666666669, 228.66666666666669, 228.66666666666669)"
0.11,42,h,572,1.13,0.042,"rgb(213.2941176470588, 213.2941176470588, 246.29411764705884)"
0.11,43,h,529,0.87,0.0458,"rgb(246.29411764705884, 213.29411764705884, 213.29411764705884)"
0.11,44,h,574,1.02,0.725,"rgb(240.19607843137254, 240.19607843137254, 245.19607843137257)"
0.11,45,h,544,1.18,0.00994,"rgb(199.84313725490196, 199.84313725490196, 246.84313725490196)"
0.11,46,h,551,0.95,0.441,"rgb(245.50980392156865, 232.50980392156862, 232.50980392156862)"
0.11,47,h,501,0.9,0.152,"rgb(245.98039215686273, 220.98039215686273, 220.98039215686273)"
0.11,48,h,548,1.01,0.87,"rgb(242.11764705882354, 242.11764705882354, 245.11764705882354)"
0.11,49,h,517,0.9,0.131,"rgb(245.98039215686273, 220.98039215686273, 220.98039215686273)"
0.11,50,h,461,1.11,0.127,"rgb(217.1372549019608, 217.1372549019608, 246.13725490196077)"
0.11,51,h,534,1.08,0.227,"rgb(224.82352941176472, 224.82352941176472, 245.8235294117647)"
0.11,52,h,564,0.73,3.72e-06,"rgb(247.7058823529412, 178.7058823529412, 178.7058823529412)"
0.11,53,h,593,1.29,2.07e-05,"rgb(172.94117647058823, 172.94117647058823, 247.94117647058823)"
0.11,54,h,470,0.77,0.000314,"rgb(247.3137254901961, 188.31372549019605, 188.31372549019605)"
0.11,55,h,659,1.25,0.000119,"rgb(182.54901960784315, 182.54901960784315, 247.54901960784315)"
0.11,56,h,491,1.17,0.0187,"rgb(203.68627450980395, 203.68627450980395, 246.68627450980392)"
0.11,57,h,569,1.19,0.0058,"rgb(197.921568627451, 197.921568627451, 246.921568627451)"
0.11,58,h,488,0.76,0.000169,"rgb(247.3921568627451, 186.3921568627451, 186.3921568627451)"
0.11,59,h,461,0.97,0.647,"rgb(245.27450980392157, 238.27450980392157, 238.27450980392157)"
0.11,60,h,498,0.94,0.418,"rgb(245.58823529411765, 230.58823529411765, 230.58823529411765)"
0.11,61,h,520,1.04,0.522,"rgb(234.4313725490196, 234.4313725490196, 245.4313725490196)"
0.11,62,h,413,0.91,0.254,"rgb(245.90196078431373, 222.90196078431373, 222.90196078431373)"
0.11,63,h,422,0.86,0.0566,"rgb(246.37254901960785, 211.37254901960787, 211.37254901960787)"
0.11,64,h,454,0.91,0.183,"rgb(245.90196078431373, 222.90196078431373, 222.90196078431373)"
0.11,65,h,466,1.01,0.916,"rgb(242.11764705882354, 242.11764705882354, 245.11764705882354)"
0.11,66,h,448,0.87,0.059,"rgb(246.29411764705884, 213.29411764705884, 213.29411764705884)"
0.11,67,h,393,0.77,0.00117,"rgb(247.3137254901961, 188.31372549019605, 188.31372549019605)"
0.11,68,h,461,0.84,0.0151,"rgb(246.60784313725492, 205.60784313725492, 205.60784313725492)"
0.11,69,h,418,1.06,0.451,"rgb(230.58823529411765, 230.58823529411765, 245.58823529411765)"
0.11,70,h,512,1.21,0.00393,"rgb(194.07843137254903, 194.07843137254903, 247.078431372549)"
0.11,71,h,431,1.07,0.352,"rgb(228.66666666666669, 228.66666666666669, 245.66666666666669)"
0.11,72,h,435,1.22,0.00526,"rgb(190.23529411764704, 190.23529411764704, 247.23529411764704)"
0.11,73,h,481,1.35,5.15e-06,"rgb(159.49019607843138, 159.49019607843138, 248.49019607843135)"
0.11,74,h,406,1.14,0.08,"rgb(211.37254901960785, 211.37254901960785, 246.37254901960785)"
0.11,75,h,431,1.26,0.000986,"rgb(180.62745098039215, 180.62745098039215, 247.62745098039218)"
0.11,76,h,380,0.93,0.376,"rgb(245.66666666666669, 228.66666666666669, 228.66666666666669)"
0.11,77,h,384,0.96,0.672,"rgb(245.4313725490196, 234.4313725490196, 234.4313725490196)"
0.11,78,h,340,0.66,2.18e-06,"rgb(248.41176470588235, 161.41176470588235, 161.41176470588235)"
0.11,79,h,426,1.52,2.9e-09,"rgb(117.2156862745098, 117.2156862745098, 250.2156862745098)"
0.11,80,h,481,1.26,0.000653,"rgb(180.62745098039215, 180.62745098039215, 247.62745098039218)"
0.11,81,h,350,0.98,0.84,"rgb(245.19607843137257, 240.19607843137254, 240.19607843137254)"
0.11,82,h,327,0.91,0.266,"rgb(245.90196078431373, 222.90196078431373, 222.90196078431373)"
0.11,83,h,405,0.86,0.0564,"rgb(246.37254901960785, 211.37254901960787, 211.37254901960787)"
0.11,84,h,465,1.2,0.00712,"rgb(196.0, 196.0, 247.0)"
0.11,85,h,346,0.89,0.162,"rgb(246.1372549019608, 217.13725490196077, 217.13725490196077)"
0.11,86,h,354,1.22,0.011,"rgb(190.23529411764704, 190.23529411764704, 247.23529411764704)"
0.11,87,h,374,0.91,0.279,"rgb(245.90196078431373, 222.90196078431373, 222.90196078431373)"
0.11,88,h,390,1.4,5.03e-06,"rgb(146.0392156862745, 146.0392156862745, 249.0392156862745)"
0.11,89,h,284,0.85,0.0885,"rgb(246.52941176470588, 207.52941176470588, 207.52941176470588)"
0.11,90,h,321,1.78,7.57e-13,"rgb(53.803921568627445, 53.803921568627445, 252.80392156862746)"
0.11,91,h,472,1.52,3.61e-10,"rgb(117.2156862745098, 117.2156862745098, 250.2156862745098)"
0.11,92,h,300,1.04,0.658,"rgb(234.4313725490196, 234.4313725490196, 245.4313725490196)"
0.11,93,h,207,0.57,1.34e-06,"rgb(249.35294117647058, 138.35294117647058, 138.35294117647058)"
0.11,94,h,280,1.34,0.000756,"rgb(161.41176470588238, 161.41176470588238, 248.41176470588235)"
0.11,95,h,306,1.55,1.22e-07,"rgb(109.52941176470587, 109.52941176470587, 250.52941176470588)"
0.11,96,h,320,1.46,3e-06,"rgb(132.58823529411765, 132.58823529411765, 249.58823529411765)"
0.11,97,h,321,1.47,1.91e-06,"rgb(128.74509803921572, 128.74509803921572, 249.7450980392157)"
0.11,98,h,238,0.74,0.00394,"rgb(247.62745098039218, 180.62745098039218, 180.62745098039218)"
0.11,99,h,354,1.62,3.57e-10,"rgb(92.23529411764707, 92.23529411764707, 251.23529411764707)"
0.11,100,h,332,2.03,1.51e-19,"rgb(0.0, 0.0, 255.0)"
0.12,1,h,15,3.59,0.000349,"rgb(0.0, 0.0, 255.0)"
0.12,2,h,7,0.0,0.00831,"rgb(255.0, 0.0, 0.0)"
0.12,3,h,333,0.58,1.15e-09,"rgb(249.19607843137254, 142.19607843137254, 142.19607843137254)"
0.12,4,h,238,0.51,9.81e-10,"rgb(249.90196078431373, 124.90196078431372, 124.90196078431372)"
0.12,5,h,279,0.42,1.1e-16,"rgb(250.84313725490196, 101.84313725490196, 101.84313725490196)"
0.12,6,h,398,0.76,0.000759,"rgb(247.3921568627451, 186.3921568627451, 186.3921568627451)"
0.12,7,h,425,0.75,0.000187,"rgb(247.47058823529414, 184.47058823529414, 184.47058823529414)"
0.12,8,h,484,0.77,0.000232,"rgb(247.3137254901961, 188.31372549019605, 188.31372549019605)"
0.12,9,h,432,0.72,2.66e-05,"rgb(247.7843137254902, 176.7843137254902, 176.7843137254902)"
0.12,10,h,482,0.89,0.119,"rgb(246.1372549019608, 217.13725490196077, 217.13725490196077)"
0.12,11,h,602,0.7,7.47e-08,"rgb(248.01960784313727, 171.01960784313724, 171.01960784313724)"
0.12,12,h,505,0.66,9.12e-09,"rgb(248.41176470588235, 161.41176470588235, 161.41176470588235)"
0.12,13,h,649,0.87,0.02,"rgb(246.29411764705884, 213.29411764705884, 213.29411764705884)"
0.12,14,h,582,0.8,0.000872,"rgb(247.0, 196.0, 196.0)"
0.12,15,h,640,1.0,0.952,"rgb(244.0392156862745, 244.0392156862745, 245.03921568627453)"
0.12,16,h,568,0.82,0.00259,"rgb(246.84313725490196, 199.84313725490196, 199.84313725490196)"
0.12,17,h,573,0.75,1.27e-05,"rgb(247.47058823529414, 184.47058823529414, 184.47058823529414)"
0.12,18,h,568,0.65,2.14e-10,"rgb(248.49019607843135, 159.49019607843138, 159.49019607843138)"
0.12,19,h,653,0.88,0.0363,"rgb(246.21568627450984, 215.2156862745098, 215.2156862745098)"
0.12,20,h,743,0.69,4.21e-10,"rgb(248.09803921568627, 169.09803921568627, 169.09803921568627)"
0.12,21,h,652,0.8,0.000206,"rgb(247.0, 196.0, 196.0)"
0.12,22,h,651,1.0,0.928,"rgb(244.0392156862745, 244.0392156862745, 245.03921568627453)"
0.12,23,h,588,0.75,1.4e-05,"rgb(247.47058823529414, 184.47058823529414, 184.47058823529414)"
0.12,24,h,643,0.84,0.00529,"rgb(246.60784313725492, 205.60784313725492, 205.60784313725492)"
0.12,25,h,680,0.78,5.28e-05,"rgb(247.23529411764704, 190.23529411764704, 190.23529411764704)"
0.12,26,h,678,0.75,1.67e-06,"rgb(247.47058823529414, 184.47058823529414, 184.47058823529414)"
0.12,27,h,866,0.81,5.57e-05,"rgb(246.921568627451, 197.921568627451, 197.921568627451)"
0.12,28,h,680,1.01,0.907,"rgb(242.11764705882354, 242.11764705882354, 245.11764705882354)"
0.12,29,h,714,0.91,0.123,"rgb(245.90196078431373, 222.90196078431373, 222.90196078431373)"
0.12,30,h,568,0.68,6.76e-09,"rgb(248.1764705882353, 167.1764705882353, 167.1764705882353)"
0.12,31,h,665,1.0,1.0,"rgb(244.0392156862745, 244.0392156862745, 245.03921568627453)"
0.12,32,h,704,1.05,0.368,"rgb(232.50980392156862, 232.50980392156862, 245.50980392156865)"
