,0
0.0,"rgb(244.0392156862745, 244.0392156862745, 245.03921568627453)"
0.01,"rgb(242.11764705882354, 242.11764705882354, 245.11764705882354)"
0.02,"rgb(240.19607843137254, 240.19607843137254, 245.19607843137257)"
0.03,"rgb(238.27450980392157, 238.27450980392157, 245.27450980392157)"
0.04,"rgb(234.4313725490196, 234.4313725490196, 245.4313725490196)"
0.05,"rgb(232.50980392156862, 232.50980392156862, 245.50980392156865)"
0.06,"rgb(230.58823529411765, 230.58823529411765, 245.58823529411765)"
0.07,"rgb(228.66666666666669, 228.66666666666669, 245.66666666666669)"
0.08,"rgb(224.82352941176472, 224.82352941176472, 245.8235294117647)"
0.09,"rgb(222.90196078431373, 222.90196078431373, 245.90196078431373)"
0.1,"rgb(220.98039215686273, 220.98039215686273, 245.98039215686273)"
0.11,"rgb(217.1372549019608, 217.1372549019608, 246.13725490196077)"
0.12,"rgb(215.2156862745098, 215.2156862745098, 246.21568627450984)"
0.13,"rgb(213.2941176470588, 213.2941176470588, 246.29411764705884)"
0.14,"rgb(211.37254901960785, 211.37254901960785, 246.37254901960785)"
0.15,"rgb(207.52941176470588, 207.52941176470588, 246.52941176470588)"
0.16,"rgb(205.60784313725495, 205.60784313725495, 246.60784313725492)"
0.17,"rgb(203.68627450980395, 203.68627450980395, 246.68627450980392)"
0.18,"rgb(199.84313725490196, 199.84313725490196, 246.84313725490196)"
0.19,"rgb(197.921568627451, 197.921568627451, 246.921568627451)"
0.2,"rgb(196.0, 196.0, 247.0)"
0.21,"rgb(194.07843137254903, 194.07843137254903, 247.078431372549)"
0.22,"rgb(190.23529411764704, 190.23529411764704, 247.23529411764704)"
0.23,"rgb(188.31372549019608, 188.31372549019608, 247.31372549019608)"
0.24,"rgb(186.3921568627451, 186.3921568627451, 247.3921568627451)"
0.25,"rgb(182.54901960784315, 182.54901960784315, 247.54901960784315)"
0.26,"rgb(180.62745098039215, 180.62745098039215, 247.62745098039218)"
0.27,"rgb(178.7058823529412, 178.7058823529412, 247.7058823529412)"
0.28,"rgb(176.7843137254902, 176.7843137254902, 247.7843137254902)"
0.29,"rgb(172.94117647058823, 172.94117647058823, 247.94117647058823)"
0.3,"rgb(171.01960784313727, 171.01960784313727, 248.01960784313727)"
0.31,"rgb(169.09803921568627, 169.09803921568627, 248.09803921568627)"
0.32,"rgb(167.1764705882353, 167.1764705882353, 248.1764705882353)"
